Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided,Submitted via,Date sent to company?,Company response to consumer,Timely response?,Consumer disputed,Complaint ID
04/18/2017,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,BBVA COMPASS FINANCIAL CORPORATION,OK,731XX,,,Web,04/18/2017,In progress,Yes,No,2440699
04/18/2017,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,,"Mel S. Harris and Associates, LLC",NY,112XX,,,Web,04/18/2017,Untimely response,No,No,2439575
04/18/2017,Bank account or service,Checking account,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,MO,64081,,N/A,Referral,04/18/2017,Closed with monetary relief,Yes,No,2440060
03/04/2017,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt resulted from identity theft,,,Credit Card Receivables Fund Incorporated,NC,27597,,Consent not provided,Web,03/04/2017,Closed with explanation,Yes,Yes,2371600
04/18/2017,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",MD,21215,,N/A,Referral,04/20/2017,Closed with non-monetary relief,Yes,No,2440304
11/08/2016,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"EQUIFAX, INC.",AZ,85296,,Consent not provided,Web,11/08/2016,Closed with explanation,Yes,No,2199513
03/28/2017,Credit card,,Other,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",WV,25156,,N/A,Postal mail,04/21/2017,Closed with explanation,Yes,No,2408024
04/18/2017,Bank account or service,Cashing a check without an account,"Making/receiving payments, sending money",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",VA,233XX,,,Web,04/18/2017,Closed with explanation,Yes,No,2439642
04/17/2017,Bank account or service,Checking account,Deposits and withdrawals,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNTRUST BANKS, INC.",TN,38134,,N/A,Referral,04/18/2017,Closed with explanation,Yes,No,2437746
03/21/2017,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,VA,23228,,N/A,Postal mail,03/22/2017,Closed with explanation,Yes,No,2397083
03/04/2017,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,,PORTFOLIO RECOVERY ASSOCIATES INC,NY,11729,,Consent not provided,Web,03/04/2017,Closed with explanation,Yes,No,2371838
04/19/2017,Mortgage,Other mortgage,Other,,,,21ST MORTGAGE CORP.,NY,11368,,N/A,Postal mail,04/20/2017,Closed with explanation,Yes,No,2442948
04/18/2017,Credit card,,Identity theft / Fraud / Embezzlement,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",RI,029XX,,,Web,04/18/2017,Closed with explanation,Yes,No,2441143
03/04/2017,Student loan,Federal student loan servicing,Can't repay my loan,Can't get flexible payment options,"XXXX NAVIENT ACCT # XXXX Exactly what you found with XXXX/ Navient in the press release happened to me. I was recommended to refinance in XX/XX/XXXX and XX/XX/XXXX, which I did. Also, with economic hardship, I was unable to make full payments, so the representative directed me which form I needed to fill out and submit so my loan would not go into default. I was told to pay what I am able to. There were no options given, just "" this is what you need to do. '' and I follow their instructions. My XXXX XXXX School Loans were disbursed from XX/XX/XXXX-XX/XX/XXXX for XXXX totaling {$160000.00}.
{$230000.00} TOTAL payments XX/XX/XXXX-XX/XX/XXXX ( current date ) {$200000.00} is my current balance. Mind boggling!",,"Navient Solutions, LLC.",VT,056XX,,Consent provided,Web,03/04/2017,Closed with explanation,Yes,No,2371894
04/21/2017,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,Ditech Financial LLC,MO,657XX,,,Web,04/21/2017,Closed with explanation,Yes,No,2446051
07/26/2016,Consumer Loan,Personal line of credit,Shopping for a line of credit,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",AL,35022,,N/A,Referral,07/28/2016,Closed with explanation,Yes,No,2030435
04/05/2017,Credit card,,Identity theft / Fraud / Embezzlement,,"My business debit cards were stolen from my mail box, my bank had sent my debit cards with ( factory pins ) to my business address, I had no knowledge of this until the day the transactions happened. ( I had no knowledge of this because i still did n't have access to my mailbox, i was waiting for the landlord to give me the key for the mailbox ). I contacted my bank as soon as possible and reported the incident but i was asked to wait until the transactions posted. I had also requested that all the cards linked to my account to be cancelled immediately but the representative failed to do one of them so more transaction posted the next day.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,958XX,,Consent provided,Web,04/05/2017,Closed with monetary relief,Yes,No,2420310
04/20/2017,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",CA,900XX,,,Web,04/20/2017,Closed with explanation,Yes,No,2443835
04/21/2017,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,"Alpine Credit, Inc",CO,802XX,,,Web,04/21/2017,Closed with explanation,Yes,No,2446421
04/18/2017,Credit card,,Billing disputes,,,,"CITIZENS FINANCIAL GROUP, INC.",MA,02339,,,Web,04/18/2017,In progress,Yes,No,2441437
04/18/2017,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Specialized Loan Servicing LLC,GA,300XX,Older American,,Web,04/18/2017,Closed with explanation,Yes,No,2439659
04/16/2017,Debt collection,Federal student loan,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,,,AES/PHEAA,TN,370XX,,,Web,04/16/2017,Closed with explanation,Yes,No,2437254
04/21/2017,Credit card,,Other,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",NC,280XX,,,Web,04/21/2017,Closed with non-monetary relief,Yes,No,2446941
04/19/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company believes the complaint is the result of a misunderstanding,"Hunter Warfield, Inc.",FL,325XX,,,Web,04/19/2017,Closed with explanation,Yes,No,2443719
03/21/2017,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,WI,53405,,Consent not provided,Web,03/21/2017,Closed with non-monetary relief,Yes,No,2396771
04/18/2017,Debt collection,I do not know,False statements or representation,Attempted to collect wrong amount,,,"Credit Service of Logan, Inc.",CA,95991,,,Web,04/18/2017,Untimely response,No,No,2438168
04/06/2017,Payday loan,,Charged fees or interest I didn't expect,,,,"LDF Holdings, LLC",TN,37013,"Older American, Servicemember",Other,Web,04/18/2017,In progress,Yes,No,2423021
04/20/2017,Bank account or service,Savings account,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,FL,33462,,N/A,Postal mail,04/26/2017,Closed with explanation,Yes,No,2444186
03/07/2017,Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,Central Financial Control did not give proper notice either in writing nor phone call before reporting this to the XXXX CRA 's. I 've been making monthly payment and had no idea this account was in collections. The hospital itself did n't notify me when making my monthly payment that this account was in collections. The way I found out was when making my monthly payments in XX/XX/XXXX I see my FICO score drop XXXX point. I then pulled my credit reports from the XXXX credit reporting agencies which showed a collection from Central Financial Control ( SYNDICATED OFFICE SYSTEMS ). My next step was to send a validation letter since I had no idea why this account was in collections. The validation they sent me was a itemized statement not a physical contract between Central Financial Control and XXXX XXXX.I feel central financial control is practicing in unfair collection practices by not giving proper notice. It takes a long time to reach an XXXX score on your credit and for them to knock it down XXXX point is unfair. I feel XXXX is a wonderful hospital but their BILLING is unacceptable.,Company believes it acted appropriately as authorized by contract or law,TENET HEALTHCARE CORPORATION,TX,785XX,,Consent provided,Web,03/07/2017,Closed with explanation,Yes,No,2375350
03/04/2017,Credit reporting,,Incorrect information on credit report,Public record,"I originally contacted ARS in XX/XX/XXXX to place a security freeze on my credit report held by them. My consumer report dated XX/XX/XXXX is showing a Bankruptcy in the name of XXXX with my social security number. I wrote to XXXX and sent them a certified letter with return receipt in XX/XX/XXXX asking them to VALIDATE the information. I received several phone call on my cellular phone from someone identifying themselves as Sue later identified as XXXX, XXXX. I did not receive a response from my XX/XX/XXXX letter until XX/XX/XXXX well over 30 days and per my credit report the information was NOT marked a DISPUTED as required by Federal Law. About XX/XX/XXXX I received a letter and informing me the item I disputed with ARS is being verified and will remain on my credit report. I sent another letter Certified mail return receipt asking ARS to VALIDATE the information contained in their files. I received a letter dated on about XX/XX/XXXX with an attachment titled ( Master Mailing List ) in the name of XXXX with my social security number.
On XXXX ( XXXX ) different occasions I asked Advanced Resolution Services, Inc. to VALIDATE the information. As of XX/XX/XXXX ARS has failed to VALIDATE the information with the US Bankruptcy Court. This is not my name on the attachment as I ALWAYS use my suffix XXXX. So my father who is SR and my brother who is the III does not get confused. This is not my handwriting and that is defiantly not my signature. I am giving ARS one last opportunity to VALIDATE with the US Bankruptcy court before I file a civil suit against ARS Advanced Resolution Services XXXX Inc. XXXX XXXX XXXX and XXXX XXXX XXXX XXXX Chief Executive Officer for the following violation and I will be seeking a minimum of {$6500.00} 1.Violation of FCRA Section 611 Part ( A ) ( 1 ) for failing to respond to my original dispute dated XX/XX/XXXX will be seeking {$2500.00} for this violation 2.Failure to Comply to request to VALIDATE a violation of FCRA Section 609 I will be seeking {$1000.00} 3.Misrepresentation see XXXX XXXX ( XXXX ) : XXXX vs. XXXX, XXXX F. Supp. 502, 505 ( D. Conn. 1990 ) I will be seeking {$1000.00} XXXX. XXXX XXXX called my cellular phone on several occasion even after I told her I wanted everything dealing with ARS in writing. I also included my email as a form of communication ( see XXXX XXXX XXXX vs TCPA I will be seeking {$1000.00} for this violation XXXX to XXXX disputed on my credit report a violation of FCRA Section 623, I will be seeking {$1000.00} 6.Deformation, violation of the fair credit reporting act, negligent establishment of identity fraud.I will be seeking the maximum amount in my state.
If at any time XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX and XXXX XXXX XXXX Chief XXXX XXXX Want to VALIDATE said information or just remove without admitting any wrongdoing I will be willing to not peruse this matter in the court of LAW",,Advanced Resolution Services Inc.,CA,935XX,,Consent provided,Web,03/04/2017,Closed,No,No,2371763
03/04/2017,Bank account or service,Checking account,"Account opening, closing, or management",,,,HSBC NORTH AMERICA HOLDINGS INC.,ID,83634,,Consent not provided,Web,03/04/2017,Closed with explanation,Yes,No,2371801
02/27/2014,Bank account or service,Checking account,Deposits and withdrawals,,,,TD BANK US HOLDING COMPANY,AZ,85209,,N/A,Referral,03/05/2014,Closed,Yes,No,734298
04/18/2017,Money transfers,Domestic (US) money transfer,Fraud or scam,,,,"WESTERN UNION COMPANY, THE",FL,33330,,N/A,Phone,04/18/2017,Closed with explanation,Yes,No,2441416
04/18/2017,Bank account or service,Checking account,Deposits and withdrawals,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,REGIONS BANK,GA,303XX,,,Web,04/18/2017,Closed with monetary relief,Yes,No,2441053
03/22/2017,Credit reporting,,Credit reporting company's investigation,Investigation took too long,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,TX,78244,,Consent not provided,Web,03/22/2017,Closed with explanation,Yes,No,2399547
04/17/2017,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",TX,77521,,N/A,Referral,04/18/2017,Closed with explanation,Yes,No,2438812
03/04/2017,Debt collection,Credit card,Communication tactics,Called after sent written cease of comm,"Dear XXXX Staff, XXXX bankruptcy filed in XX/XX/XXXX. Bankruptcy was dismissed in about XX/XX/XXXX due to falling behind on plan payments. My husband is XXXX became permanently XXXX in XX/XX/XXXX. I am XXXX, permanently laid off from my job of eight years and have filed for XXXX. Pennsylvania statue of limitations to collect a debt is four years. Portfolio Recovery Associates started contacting us by phone and US mail sometime after the bankruptcy was dismissed. I told them our situation and the statute of limitations in Pennsylvania verbally and also have sent them a letter to cease and desist. They continued to call us and send us bill statements in the mail. We registered our telephone numbers with the Do Not Call List several years ago. Their behavior is considered harassment to us. Just recently, they also placed a collection derogatory remark on both of our credit reports without notifying us of such action. They were asked to remove the derogatory remarks from our credit reports, but they have not complied with the request. They have been asked verbally and in written communication not to contact us and that we are on the XXXX Not Call List. Portfolio Recovery Associates is a debt buyer of old debt for pennies on the dollar and then attempt to collect the full amount plus fees for debts that are past the statue of limitations for collecting. Please try to stop them from harassing us anymore and please try to get them to remove the derogatory collection comment from both our credit reports. Thank You.",,PORTFOLIO RECOVERY ASSOCIATES INC,PA,163XX,,Consent provided,Web,03/04/2017,Closed with explanation,Yes,Yes,2371775
04/10/2017,Credit card,,Other fee,,"I applied for a MasterCard through Barclaycard bank in XXXX of XXXX. On XXXX XXXX, XXXX, I received a letter from Barclaycard confirming my eligibility to receive XXXX ( XXXX ) benefits. The letter stated that the following terms would apply to my MasterCard Gold Card account as long as I was on XXXX XXXX.
-The Annual Percentage Rate ( APR ) for all balances have been lowered to 0.0 % -All transaction fees, if any, will be waived -Any transaction fees and finance charges applied since your XXXX XXXX start date of XXXX XXXX, XXXX will be credited back to you.
On XXXX XXXX, XXXX, I received a letter from Barclaycard stating that they reviewed their Department of Defense records and discovered that my account is not eligible to receive the protection under the XXXX but they extended certain benefits to my account based on their policy. The letter goes on to state going forward Barclaycard will no longer waive the annual fee for my account and as a result a charge of {$990.00} will be appear on my statement in XXXX XXXX ; however, the 0 % APR and other fees will still apply while I 'm on XXXX XXXX.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,VA,234XX,Servicemember,Consent provided,Web,04/10/2017,Closed with explanation,Yes,No,2426957
04/18/2017,Bank account or service,Other bank product/service,Problems caused by my funds being low,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",NY,118XX,Older American,,Web,04/18/2017,Closed with explanation,Yes,No,2439475
03/04/2017,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",VA,22303,,Consent not provided,Web,03/04/2017,Closed,Yes,No,2371883
04/19/2017,Credit card,,Closing/Cancelling account,,,,JPMORGAN CHASE & CO.,DC,200XX,,,Web,04/19/2017,Closed with monetary relief,Yes,No,2441669
03/21/2017,Credit reporting,,Incorrect information on credit report,Account status,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,GA,30127,,N/A,Referral,03/21/2017,Closed with non-monetary relief,Yes,No,2397557
03/04/2017,Credit card,,Payoff process,,I have paid the entire balance off of this card and will not use it. There is a negative balance of XXXX. I want a paper check in the amount to bring the balance to absolute XXXX.,,JPMORGAN CHASE & CO.,NJ,087XX,Older American,Consent provided,Web,03/04/2017,Closed with non-monetary relief,Yes,No,2371956
04/03/2017,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"EQUIFAX, INC.",FL,33004,,,Web,04/03/2017,Closed with explanation,Yes,No,2416347
03/04/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,THIS COLLECTION AGENCY IS CONTINUING TO TRY TO COLLECT ON A DEBT THAT WAS DISCHARGED/WRITTEN OFF IN XX/XX/2007. I HAVE NEVER CONSENTED TO THE AMOUNT OWED NOR WAS I GIVEN AN OPPORTUNITY TO DISPUTE.,,"Convergent Resources, Inc.",AZ,850XX,,Consent provided,Web,03/04/2017,Closed with explanation,Yes,No,2371657
03/08/2017,Bank account or service,Checking account,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",GA,30013,,N/A,Phone,03/10/2017,Closed with explanation,Yes,No,2378338
03/04/2017,Student loan,Non-federal student loan,Dealing with my lender or servicer,Trouble with how payments are handled,"I 've called every day for the last 4 days, and spoke with representatives and supervisors ( at least that 's how they identified themselves ) and I 've been told different and sometimes conflicting information each time. Each day the people I 've spoken with give me false information and interest accrues. That is not fair or legal. I 'm trying to settle my account.

They say the settlement is being sent to their processing department, but when I call the next day to make sure it 's in process they say it was rejected for some different reason, even issues like an invalid email address which is a lie, we have communicated via email!

They 're giving me the run around and each day charging me more and more money. I just want to pay them but they wo n't provide documentation of the settlement and keep charging me money.",,"Navient Solutions, LLC.",IL,606XX,,Consent provided,Web,03/04/2017,Closed with explanation,Yes,No,2371669
04/19/2017,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Specialized Loan Servicing LLC,VA,22306,,Consent not provided,Web,04/19/2017,Closed with explanation,Yes,No,2439459
04/17/2017,Credit card,,Closing/Cancelling account,,,,CAPITAL ONE FINANCIAL CORPORATION,MN,55406,,,Web,04/17/2017,Closed with explanation,Yes,No,2439235
04/18/2017,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,,Company believes the complaint is the result of a misunderstanding,"Dynamic Recovery Solutions, LLC",NJ,07080,,Consent not provided,Web,04/18/2017,Closed with non-monetary relief,Yes,No,2439983
03/04/2017,Money transfers,International money transfer,Other service issues,,"Moneygram is applying arbitrary rules to block legitimate transactions, collecting unnecessary personal data, and upon receipt of this information from me they are choosing not to offer the service they falsely advertised, under false pretense, with no recourse whatsoever to the consumer whose very personal information they now possess. I verified this by attempting to send a {$15000.00} XXXX dollar transaction to my friend in XXXX, which is around {$120.00} XXXX dollars. I was required to answer questions about the nature of our relationship, when I last saw her, where we met, how often I see her, and then was asked for the birthdates of several family members and a close friend and business associate. I provided this information truthfully, and patiently, during a XXXX minute call where all my information was given to an offshore call center agent. The end result was to be told that they would not send my transaction due to a decision by Moneygram Security, which is an algorithm, or amorphous intelligence appartus of a private or public-private nature, or some kind of unaccountable agency or group within the company, or perhaps merely a machine learning model. Bottom line, there was no rhyme or reason to the decision, and the company did not feel compelled to justify their actions in any manner. I recognize that most customers of these money transfer services are immigrants, and public policy currently opposes immigrants, but I am a native-born United States of America citizen who was trying to use this service to send slightly more than a XXXX dollars to a friend. If a money transfer business will not provide this service to Americans, it should not be allowed to do business in this country.",,MONEYGRAM PAYMENT SYSTEMS WORLDWIDE INC,FL,333XX,,Consent provided,Web,03/04/2017,Closed with explanation,Yes,Yes,2371708
03/04/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",,"I contacted a representative of Key Bank about a mortgage. The very first thing I told her was that I had a lot of student loan debt and asked if the program would work for me. She said yes. I then told her that I had already had my credit run a few times and we needed to wait for my report to show the correct payments on my student loans. She said I can check XXXX and monitor it for the correct payments, then let her know so she could run my credit. I did this, then emailed her that XXXX did not show the correct payments yet and we should wait. She then said that she had already run my credit report. Not only did I not authorize this, but I explicitly stated I did not want to run it yet. Because of this, I have too many inquiries on my record and my score has dropped XXXX points in at least XXXX of the agencies. This is a measurable difference of over $ 100/month on my mortgage payment, a serious financial damage. This inquiry must be removed from my record.",,KEYCORP,OR,974XX,,Consent provided,Web,03/04/2017,Closed with explanation,Yes,No,2371825
04/11/2017,Student loan,Federal student loan servicing,Can't repay my loan,Can't decrease my monthly payments,,,AES/PHEAA,NY,142XX,,,Web,04/11/2017,Closed with explanation,Yes,No,2430596
04/06/2017,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NC,28216,,N/A,Phone,04/06/2017,Closed with explanation,Yes,No,2420513
04/19/2017,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,,,TD BANK US HOLDING COMPANY,NH,03849,Older American,N/A,Postal mail,04/20/2017,In progress,Yes,No,2441638
12/17/2015,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,"This letter is being sent to you in response to the above reference account that Alpine Credit Inc, has reported and listed on all XXXX major credit reporting agencies ( XXXX, XXXX, and XXXX ). Please be advised that this is not a refusal to pay, but written notice sent in pursuant to the Fair Debt Collection Practices Act, 15USC 1692g Sec. 809 ( b ) that your claim is disputed and VALIDATION HAS BEEN REQUESTED.
This is not a request for "" Verification '' or proof of my mailing address, but a request for "" VALIDATION '' made pursuant to the above named Title and section. I respectfully request that your offices provide me with competent evidence.
Please provide me with the following : What the money you say I owe is for ; Explain and show me how you calculated what you say I owe ; Provide me with copies of any documents that show I agreed to pay what you say I owe ; Identify the original creditor ; Prove the Statute of Limitations has not expired on this account ; Show me that you are licensed to collect in my state ; Provide me with your license numbers and Registered Agent At this time I will also inform ALPINE CREDIT INC that your offices have reported invalidated information to all three of the major credit bureaus ( XXXX, XXXX, and XXXX ) this action constitute Fraud under both federal and state laws. Due to this fact, the negative mark that has been found on all three of my credit reports by your company, or companies that you represent. I will not hesitate in bringing legal action against ALPINE CREDIT INC for the following : Violation of the Fair Credit reporting Act Violation of the Fair Debt Collection Practices Act Defamation of character VIOLATION OF THE COLORADO FAIR CREDIT REPORTING ACT LAWS.",,"Alpine Credit, Inc",CO,800XX,,Consent provided,Web,12/17/2015,Closed with explanation,No,No,1699163
03/26/2017,Prepaid card,General purpose card,Unauthorized transactions/trans. issues,,,,Blackhawk Network Holdings Inc.,NE,681XX,,,Web,03/28/2017,Closed with explanation,Yes,No,2404117
04/11/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Company believes it acted appropriately as authorized by contract or law,TCF NATIONAL BANK,IL,60631,,Other,Web,04/12/2017,Closed with explanation,Yes,No,2431865
03/04/2017,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Received bad information about my loan,"I believe I was wronged by Navient in several ways. Number one occurred in 2014 when I was not adequately informed of my obligation to re-certify my income status. They did not make any effort to ensure that I completed it in time, and, as a result, {$6500.00} in interest capitalized and was rolled into my subsequent income-based repayment status. They did not adequately inform me ( 1 ) of my obligation to re-certify my income status by the deadline they provided and ( 2 ) of the repercussions of not doing so ( that my interest would capitalize and payment would skyrocket ).

At the time, I was told that there was nothing I could do about this. However, after seeing your lawsuit, I realized that I was wronged and misled. Thank you for your help in bringing this issue to light.",,"Navient Solutions, LLC.",CA,926XX,,Consent provided,Web,03/04/2017,Closed with explanation,Yes,No,2371733
11/25/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,I have made numerous attempts requesting tje validation of debt. I have requested on writing to the collection company and to the credit bureaus to provide me with a detailed breakdown of what I allegedly owed. I was not given enough information to validate debt.,,WORLD ACCEPTANCE CORPORATION,SC,297XX,,Consent provided,Web,03/05/2017,Closed with explanation,Yes,No,2223187
04/06/2017,Credit card,,Other,,,,JPMORGAN CHASE & CO.,AR,72734,,,Web,04/06/2017,Closed with explanation,Yes,No,2423294
04/21/2017,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,"RGS Financial, Inc.",KS,672XX,,,Web,04/21/2017,Closed with explanation,Yes,No,2446065
04/03/2017,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,ALLY FINANCIAL INC.,MN,55444,,N/A,Referral,04/04/2017,Closed with explanation,Yes,No,2416891
04/21/2017,Mortgage,Home equity loan or line of credit,"Application, originator, mortgage broker",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,WA,98031,,Consent not provided,Web,04/21/2017,Closed with explanation,Yes,No,2446274
01/06/2017,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"NP Group first contacted me, on a cellular phone # which has been mine for around 8 years, about a debt, which was not mine, on XX/XX/2017 at XXXX by robocaller, I spoke to their representative, informing them that I had no knowledge of the XXXX XXXX they were seeking and asked to be removed from their system. Calls followed the next day, where I again stated i did not know this person, and a third time, where I was accused of lying about having spoken to them the two previous days and when I told them to remove me was told by their representative that he was "" not there to take orders ''. The first call was well within their legal rights, but the next two days of calls were in direct violation of both the FDCPA and the TCPA, as they had no business relationship with myself, and when I tried to get information on their company the first several times I was hung up on, before finally getting someone who gave me their address and calling back a separate number to complain. Since getting this number I have received periodic obnoxious calls, both for the XXXX XXXX they were trying to contact and a XXXX XXXX, neither of whom i have ever met, seemingly never having my cellular number removed from the debts and getting brand new harassment every time the debt is sold for a new round of collection attempts. I recognize that there is no legal recourse to have my number permanently removed from the debt documents, but after establishing that I was not the debt holder on the first call all subsequent communications should have ended, in subsequent calls their use of a robocaller for someone with whom they have no business relationship is a direct violation of the TCPA.",,"National Principal Group, LLC",ME,042XX,,Consent provided,Web,03/04/2017,Closed with explanation,Yes,Yes,2278990
03/04/2017,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Received bad information about my loan,"I have a federal student loan from XX/XX/XXXX, and no matter how much I pay, I ca n't seem to get this loan paid off. In XX/XX/XXXX it was for {$31000.00}. I graduated from the program ( it was a graduate program ) XXXX years later, and began to pay the loan. In XX/XX/XXXX, I was home on XXXX and since I was working XXXX meant no income. I made arrangements for a forbearance. At no time was there any mention of increased interest or fees. However, when I began to work full time again in XX/XX/XXXX ( I actually began to teach as an adjunct in XX/XX/XXXX, but the pay was very low ), I began to make full payments again, and that was when I saw that my loan had ballooned to {$38000.00}!. I have been paying more than the monthly amount for years now, and the loan reduces very slowly. It does n't seem correct that after all this time, I am still paying this loan back in XX/XX/XXXX. Please look into my situation and see if something is incorrect. Thank you!",,"Navient Solutions, LLC.",NY,112XX,,Consent provided,Web,03/04/2017,Closed with explanation,Yes,No,2371890
04/13/2017,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ditech Financial LLC,FL,320XX,,,Web,04/13/2017,Closed with explanation,Yes,No,2434133
03/14/2017,Credit reporting,,Incorrect information on credit report,Account status,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NC,27862,,Consent not provided,Web,03/14/2017,Closed with explanation,Yes,No,2386851
03/19/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,"I was not aware I owed this debt through this collector. I got my credit file this year and saw this. I have not received any communication AT ALL. To top it off the collections "" compliance '' manager was completely rude. I do not wish to have them collect me and would rather go to creditor for any imformation.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Sentry Credit, Inc.",CA,900XX,,Consent provided,Web,03/19/2017,Closed with explanation,Yes,No,2394086
03/21/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Taking/threatening an illegal action,Sued where didn't live/sign for debt,,,TRANSWORLD SYSTEMS INC,MD,207XX,,,Web,03/21/2017,Closed with explanation,Yes,No,2398085
12/28/2016,Debt collection,I do not know,Improper contact or sharing of info,Contacted employer after asked not to,XXXX Scott Caruthers is harassing me at work. I have a recorded call the gentleman being very rude without disclosing the purpose for the call at my place of work,,D. SCOTT CARRUTHERS,CA,921XX,,Consent provided,Web,03/04/2017,Untimely response,No,No,2266823
